OBJECTID,Join_Count,TARGET_FID,plotid,center_lon,center_lat,shape,size_m,sample_points,flagged,flagged_reason,confidence,collection_time,analysis_duration,common_securewatch_date,total_securewatch_dates,Water>irrigation ditch,grass,Water>rivers/stream,Impervious Surface (no building),Wetlands,Water>lake/ponded/container,cultivated vegetation,Bare Ground,Building,Trees_CanopyCover,unknown,bush/scrub,shadow,shape,shape,shape,shape,shape,shape,shape,shape,shape_12_13_14_15_16_17_18_19_2,Water>treated pool,shape_12_13_14_15_16_17_18_19_3,shape_12_13_14_15_16_17_18_19_4,shape_12_13_14_15_16_17_18_19_5,shape_12_13_14_15_16_17_18_19_6,shape_12_13_14_15_16_17_18_19_7,shape_12_13_14_15_16_17_18_19_8,shape_12_13_14_15_16_17_18_19_9,shape_12_13_14_15_16_17_18_1_10,shape_12_13_14_15_16_17_18_1_11,shape_12_13_14_15_16_17_18_1_12,plotid 1,center_lon 1,center_lat 1,shape 1,size_m 1,sample_points 1,flagged 1,flagged_reason 1,confidence 1,collection_time 1,analysis_duration 1,common_securewatch_date 1,total_securewatch_dates 1,Land_Cover_Elements_Water_irr_1,grass 1,Land_Cover_Elements_Water_riv_1,Land_Cover_Elements_Impervious1,Wetlands 1,Land_Cover_Elements_Water_lake1,Land_Cover_Elements_cultivated1,Land_Cover_Elements_Bare_Grou_1,Building 1,Land_Cover_Elements_Trees_Can_1,unknown 1,Land_Cover_Elements_bush_scrub_,shadow 1,shape 1,shape 1,shape 1,shape 1,shape 1,shape 1,shape 1,shape 1,shape_12_13_14_15_16_17_18_1_13,Land_Cover_Elements_Water_tre_1,shape_12_13_14_15_16_17_18_1_14,shape_12_13_14_15_16_17_18_1_15,shape_12_13_14_15_16_17_18_1_16,shape_12_13_14_15_16_17_18_1_17,shape_12_13_14_15_16_17_18_1_18,shape_12_13_14_15_16_17_18_1_19,shape_12_13_14_15_16_17_18_1_20,shape_12_13_14_15_16_17_18_1_21,shape_12_13_14_15_16_17_18_1_22,shape_12_13_14_15_16_17_18_1_23,x,y
1,1,1,600,-97.76467200,30.49849400,,100.00000000,100,false,,81,7/3/2024 7:41:00 PM,274.6 secs,,0,0,58.00000000,0,24.00000000,0,0,0,0,3,12.00000000,0,0,3,,,,,,,,,,,,,,,,,,,,,600,-97.76467200,30.49849400,,100.00000000,100,false,,81,7/3/2024 7:41:00 PM,274.6 secs,,0,0,58.00000000,0,24.00000000,0,0,0,0,3,12.00000000,0,0,3,,,,,,,,,,,,,,,,,,,,,-97.7646719998975,30.4984940001557
2,1,2,601,-97.77771700,30.48725200,,100.00000000,100,false,,90,7/3/2024 7:53:00 PM,719.8 secs,,0,0,24.00000000,0,0.00000000,0,0,0,0,0,76.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,601,-97.77771700,30.48725200,,100.00000000,100,false,,90,7/3/2024 7:53:00 PM,719.8 secs,,0,0,24.00000000,0,0.00000000,0,0,0,0,0,76.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.7777170002802,30.4872520001752
3,1,3,602,-97.77771700,30.49174900,,100.00000000,100,false,,80,7/3/2024 7:57:00 PM,261.7 secs,,0,0,10.00000000,0,0.00000000,0,0,0,0,0,90.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,602,-97.77771700,30.49174900,,100.00000000,100,false,,80,7/3/2024 7:57:00 PM,261.7 secs,,0,0,10.00000000,0,0.00000000,0,0,0,0,0,90.00000000,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.7777170002802,30.4917489996974
4,1,4,603,-97.77771700,30.49624500,,100.00000000,100,false,,86,7/3/2024 8:00:00 PM,163.5 secs,,0,0,16.00000000,0,19.00000000,0,0,0,0,30,30.00000000,0,0,5,,,,,,,,,,,,,,,,,,,,,603,-97.77771700,30.49624500,,100.00000000,100,false,,86,7/3/2024 8:00:00 PM,163.5 secs,,0,0,16.00000000,0,19.00000000,0,0,0,0,30,30.00000000,0,0,5,,,,,,,,,,,,,,,,,,,,,-97.7777170002802,30.4962450003159
5,1,5,604,-97.77771700,30.50074200,,100.00000000,100,false,,78,7/3/2024 8:06:00 PM,396.7 secs,,0,0,14.00000000,0,7.00000000,0,14,0,0,32,16.00000000,0,11,6,,,,,,,,,,,,,,,,,,,,,604,-97.77771700,30.50074200,,100.00000000,100,false,,78,7/3/2024 8:06:00 PM,396.7 secs,,0,0,14.00000000,0,7.00000000,0,14,0,0,32,16.00000000,0,11,6,,,,,,,,,,,,,,,,,,,,,-97.7777170002802,30.500741999839
6,1,6,605,-97.77771700,30.50523900,,100.00000000,100,false,,93,7/3/2024 8:09:00 PM,165.3 secs,,0,0,54.00000000,0,42.00000000,0,0,0,0,1,2.00000000,0,0,1,,,,,,,,,,,,,,,,,,,,,605,-97.77771700,30.50523900,,100.00000000,100,false,,93,7/3/2024 8:09:00 PM,165.3 secs,,0,0,54.00000000,0,42.00000000,0,0,0,0,1,2.00000000,0,0,1,,,,,,,,,,,,,,,,,,,,,-97.7777170002802,30.5052389996562
7,1,7,606,-97.77771700,30.50973500,,100.00000000,100,false,,83,7/3/2024 8:16:00 PM,412.4 secs,,0,0,31.00000000,0,15.00000000,0,0,0,0,9,42.00000000,0,0,3,,,,,,,,,,,,,,,,,,,,,606,-97.77771700,30.50973500,,100.00000000,100,false,,83,7/3/2024 8:16:00 PM,412.4 secs,,0,0,31.00000000,0,15.00000000,0,0,0,0,9,42.00000000,0,0,3,,,,,,,,,,,,,,,,,,,,,-97.7777170002802,30.5097349997935
8,1,8,607,-97.77249900,30.48725200,,100.00000000,100,false,,80,7/3/2024 8:23:00 PM,394.3 secs,,0,0,18.00000000,0,23.00000000,0,0,0,0,22,22.00000000,0,0,15,,,,,,,,,,,,,,,,,,,,,607,-97.77249900,30.48725200,,100.00000000,100,false,,80,7/3/2024 8:23:00 PM,394.3 secs,,0,0,18.00000000,0,23.00000000,0,0,0,0,22,22.00000000,0,0,15,,,,,,,,,,,,,,,,,,,,,-97.7724990003068,30.4872520001752
9,1,9,608,-97.77249900,30.49174900,,100.00000000,100,false,,83,7/5/2024 8:44:00 PM,230.8 secs,,0,0,14.00000000,0,40.00000000,0,0,0,0,13,30.00000000,0,0,3,,,,,,,,,,,,,,,,,,,,,608,-97.77249900,30.49174900,,100.00000000,100,false,,83,7/5/2024 8:44:00 PM,230.8 secs,,0,0,14.00000000,0,40.00000000,0,0,0,0,13,30.00000000,0,0,3,,,,,,,,,,,,,,,,,,,,,-97.7724990003068,30.4917489996974
10,1,10,609,-97.77249900,30.49624500,,100.00000000,100,false,,75,7/5/2024 9:35:00 PM,3059.0 secs,,0,0,12.00000000,0,7.00000000,0,0,0,0,28,39.00000000,0,0,14,,,,,,,,,,,,,,,,,,,,,609,-97.77249900,30.49624500,,100.00000000,100,false,,75,7/5/2024 9:35:00 PM,3059.0 secs,,0,0,12.00000000,0,7.00000000,0,0,0,0,28,39.00000000,0,0,14,,,,,,,,,,,,,,,,,,,,,-97.7724990003068,30.4962450003159
