OBJECTID,plotid,longitude,latitude,shape,size_m,sample_points,flagged,flagged_reason,confidence,collection_time,analysis_duration,common_securewatch_date,total_securewatch_dates,Water>irrigation ditch,grass,Water>rivers/stream,Impervious Surface (no building),Wetlands,Water>lake/ponded/container,cultivated vegetation,Bare Ground,Building,Trees_CanopyCover,unknown,bush/scrub,shadow,shape.1,shape.2,shape.3,shape.4,shape.5,shape.6,shape.7,shape.8,shape_12_13_14_15_16_17_18_19_2,Water>treated pool,shape_12_13_14_15_16_17_18_19_3,shape_12_13_14_15_16_17_18_19_4,shape_12_13_14_15_16_17_18_19_5,shape_12_13_14_15_16_17_18_19_6,shape_12_13_14_15_16_17_18_19_7,shape_12_13_14_15_16_17_18_19_8,shape_12_13_14_15_16_17_18_19_9,shape_12_13_14_15_16_17_18_1_10,shape_12_13_14_15_16_17_18_1_11,shape_12_13_14_15_16_17_18_1_12,plotid 1,center_lon 1,center_lat 1,shape 1,size_m 1,sample_points 1,flagged 1,flagged_reason 1,confidence 1,collection_time 1,analysis_duration 1,common_securewatch_date 1,total_securewatch_dates 1,Land_Cover_Elements_Water_irr_1,grass 1,Land_Cover_Elements_Water_riv_1,Land_Cover_Elements_Impervious1,Wetlands 1,Land_Cover_Elements_Water_lake1,Land_Cover_Elements_cultivated1,Land_Cover_Elements_Bare_Grou_1,Building 1,Land_Cover_Elements_Trees_Can_1,unknown 1,Land_Cover_Elements_bush_scrub_,shadow 1,shape 1.1,shape 1.2,shape 1.3,shape 1.4,shape 1.5,shape 1.6,shape 1.7,shape 1.8,shape_12_13_14_15_16_17_18_1_13,Land_Cover_Elements_Water_tre_1,shape_12_13_14_15_16_17_18_1_14,shape_12_13_14_15_16_17_18_1_15,shape_12_13_14_15_16_17_18_1_16,shape_12_13_14_15_16_17_18_1_17,shape_12_13_14_15_16_17_18_1_18,shape_12_13_14_15_16_17_18_1_19,shape_12_13_14_15_16_17_18_1_20,shape_12_13_14_15_16_17_18_1_21,shape_12_13_14_15_16_17_18_1_22,shape_12_13_14_15_16_17_18_1_23,x_AOI,y_AOI,Median Income_AOI,Min Distance,AOI,Average Income_AOI,Latitude,Longitude,Date,ECO_L2T_LSTE_002_LST,ECO_L2T_LSTE_002_LST_err,ECO_L2T_LSTE_002_QC,ECO_L2T_LSTE_002_QC_bitmask,ECO_L2T_LSTE_002_QC_Mandatory_QA_flags,ECO_L2T_LSTE_002_QC_Mandatory_QA_flags_Description,ECO_L2T_LSTE_002_QC_Data_quality_flag,ECO_L2T_LSTE_002_QC_Data_quality_flag_Description,ECO_L2T_LSTE_002_QC_LST_accuracy,ECO_L2T_LSTE_002_QC_LST_accuracy_Description,ObjectId,x_LST,y_LST,AOI Latitude,AOI Longitude,Median Income_LST,Average Income_LST
1,600,-97.764672,30.498494,,100,100,0,,81,7/3/24 19:41,274.6 secs,,0,0,58,0,24,0,0,0,0,3,12,0,0,3,,,,,,,,,,,,,,,,,,,,,600,-97.764672,30.498494,,100,100,0,,81,7/3/24 19:41,274.6 secs,,0,0,58,0,24,0,0,0,0,3,12,0,0,3,,,,,,,,,,,,,,,,,,,,,-97.764672,30.498494,117987,1798.037859,6,90641.59459,30.498494,-97.764672,2023-11-28 19:23:53 UTC,296.5599976,1,52160,0b1100101111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b11,<1 K (Excellent performance),62531,-97.764672,30.498494,30.498494,-97.764672,117987,90641.59459
2,601,-97.777717,30.487252,,100,100,0,,90,7/3/24 19:53,719.8 secs,,0,0,24,0,0,0,0,0,0,0,76,0,0,0,,,,,,,,,,,,,,,,,,,,,601,-97.777717,30.487252,,100,100,0,,90,7/3/24 19:53,719.8 secs,,0,0,24,0,0,0,0,0,0,0,76,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.777717,30.487252,61777,280.492325,6,90641.59459,30.487252,-97.777717,2023-04-13 22:27:58 UTC,300.8599854,1.4400001,36544,0b1000111011000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b10,1 - 1.5 K (Good performance),57417,-97.777717,30.487252,30.487252,-97.777717,61777,90641.59459
3,602,-97.777717,30.491749,,100,100,0,,80,7/3/24 19:57,261.7 secs,,0,0,10,0,0,0,0,0,0,0,90,0,0,0,,,,,,,,,,,,,,,,,,,,,602,-97.777717,30.491749,,100,100,0,,80,7/3/24 19:57,261.7 secs,,0,0,10,0,0,0,0,0,0,0,90,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.777717,30.491749,61777,386.245386,6,90641.59459,30.491749,-97.777717,2023-08-17 20:16:21 UTC,325.3599854,2,18112,0b0100011011000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b01,1.5 - 2 K (Marginal performance),59561,-97.777717,30.491749,30.491749,-97.777717,61777,90641.59459
4,603,-97.777717,30.496245,,100,100,0,,86,7/3/24 20:00,163.5 secs,,0,0,16,0,19,0,0,0,0,30,30,0,0,5,,,,,,,,,,,,,,,,,,,,,603,-97.777717,30.496245,,100,100,0,,86,7/3/24 20:00,163.5 secs,,0,0,16,0,19,0,0,0,0,30,30,0,0,5,,,,,,,,,,,,,,,,,,,,,-97.777717,30.496245,61777,846.522199,6,90641.59459,30.496245,-97.777717,2024-06-28 07:08:51 UTC,300.8599854,2.52,2496,0b0000100111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b00,>2 K (Poor performance),60381,-97.777717,30.496245,30.496245,-97.777717,61777,90641.59459
5,604,-97.777717,30.500742,,100,100,0,,78,7/3/24 20:06,396.7 secs,,0,0,14,0,7,0,14,0,0,32,16,0,11,6,,,,,,,,,,,,,,,,,,,,,604,-97.777717,30.500742,,100,100,0,,78,7/3/24 20:06,396.7 secs,,0,0,14,0,7,0,14,0,0,32,16,0,11,6,,,,,,,,,,,,,,,,,,,,,-97.777717,30.500742,61777,1334.605705,6,90641.59459,30.500742,-97.777717,2024-06-16 11:54:58 UTC,298.019989,2.3199999,18880,0b0100100111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b01,1.5 - 2 K (Marginal performance),63931,-97.777717,30.500742,30.500742,-97.777717,61777,90641.59459
6,605,-97.777717,30.505239,,100,100,0,,93,7/3/24 20:09,165.3 secs,,0,0,54,0,42,0,0,0,0,1,2,0,0,1,,,,,,,,,,,,,,,,,,,,,605,-97.777717,30.505239,,100,100,0,,93,7/3/24 20:09,165.3 secs,,0,0,54,0,42,0,0,0,0,1,2,0,0,1,,,,,,,,,,,,,,,,,,,,,-97.777717,30.505239,61777,1828.341668,6,90641.59459,30.505239,-97.777717,2024-01-09 11:20:26 UTC,280.6199951,0.68,60352,0b1110101111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b11,<1 K (Excellent performance),67640,-97.777717,30.505239,30.505239,-97.777717,61777,90641.59459
7,606,-97.777717,30.509735,,100,100,0,,83,7/3/24 20:16,412.4 secs,,0,0,31,0,15,0,0,0,0,9,42,0,0,3,,,,,,,,,,,,,,,,,,,,,606,-97.777717,30.509735,,100,100,0,,83,7/3/24 20:16,412.4 secs,,0,0,31,0,15,0,0,0,0,9,42,0,0,3,,,,,,,,,,,,,,,,,,,,,-97.777717,30.509735,61777,2324.020311,6,90641.59459,30.509735,-97.777717,2024-07-02 13:42:57 UTC,304.2200012,2.2,19136,0b0100101011000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b01,1.5 - 2 K (Marginal performance),70427,-97.777717,30.509735,30.509735,-97.777717,61777,90641.59459
8,607,-97.772499,30.487252,,100,100,0,,80,7/3/24 20:23,394.3 secs,,0,0,18,0,23,0,0,0,0,22,22,0,0,15,,,,,,,,,,,,,,,,,,,,,607,-97.772499,30.487252,,100,100,0,,80,7/3/24 20:23,394.3 secs,,0,0,18,0,23,0,0,0,0,22,22,0,0,15,,,,,,,,,,,,,,,,,,,,,-97.772499,30.487252,61777,739.1939168,6,90641.59459,30.487252,-97.772499,2022-09-07 04:47:44 UTC,300.1600037,2.5599999,3520,0b0000110111000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b00,>2 K (Poor performance),57997,-97.772499,30.487252,30.487252,-97.772499,61777,90641.59459
9,608,-97.772499,30.491749,,100,100,0,,83,7/5/24 20:44,230.8 secs,,0,0,14,0,40,0,0,0,0,13,30,0,0,3,,,,,,,,,,,,,,,,,,,,,608,-97.772499,30.491749,,100,100,0,,83,7/5/24 20:44,230.8 secs,,0,0,14,0,40,0,0,0,0,13,30,0,0,3,,,,,,,,,,,,,,,,,,,,,-97.772499,30.491749,61777,785.427077,6,90641.59459,30.491749,-97.772499,2023-11-24 21:00:29 UTC,295.7399902,1,51904,0b1100101011000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b11,<1 K (Excellent performance),59223,-97.772499,30.491749,30.491749,-97.772499,61777,90641.59459
10,609,-97.772499,30.496245,,100,100,0,,75,7/5/24 21:35,3059.0 secs,,0,0,12,0,7,0,0,0,0,28,39,0,0,14,,,,,,,,,,,,,,,,,,,,,609,-97.772499,30.496245,,100,100,0,,75,7/5/24 21:35,3059.0 secs,,0,0,12,0,7,0,0,0,0,28,39,0,0,14,,,,,,,,,,,,,,,,,,,,,-97.772499,30.496245,61777,1088.250212,6,90641.59459,30.496245,-97.772499,2023-06-01 18:52:17 UTC,321.3999939,2.52,2752,0b0000101011000000,0b00,"Pixel produced, best quality",0b00,Good quality L1B data,0b00,>2 K (Poor performance),60495,-97.772499,30.496245,30.496245,-97.772499,61777,90641.59459
