,OBJECTID,Join_Count,TARGET_FID,plotid,longitude,latitude,shape,size_m,sample_points,flagged,flagged_reason,confidence,collection_time,analysis_duration,common_securewatch_date,total_securewatch_dates,Water>irrigation ditch,grass,Water>rivers/stream,Impervious Surface (no building),Wetlands,Water>lake/ponded/container,cultivated vegetation,Bare Ground,Building,Trees_CanopyCover,unknown,bush/scrub,shadow,shape.1,shape.2,shape.3,shape.4,shape.5,shape.6,shape.7,shape.8,shape_12_13_14_15_16_17_18_19_2,Water>treated pool,shape_12_13_14_15_16_17_18_19_3,shape_12_13_14_15_16_17_18_19_4,shape_12_13_14_15_16_17_18_19_5,shape_12_13_14_15_16_17_18_19_6,shape_12_13_14_15_16_17_18_19_7,shape_12_13_14_15_16_17_18_19_8,shape_12_13_14_15_16_17_18_19_9,shape_12_13_14_15_16_17_18_1_10,shape_12_13_14_15_16_17_18_1_11,shape_12_13_14_15_16_17_18_1_12,plotid 1,center_lon 1,center_lat 1,shape 1,size_m 1,sample_points 1,flagged 1,flagged_reason 1,confidence 1,collection_time 1,analysis_duration 1,common_securewatch_date 1,total_securewatch_dates 1,Land_Cover_Elements_Water_irr_1,grass 1,Land_Cover_Elements_Water_riv_1,Land_Cover_Elements_Impervious1,Wetlands 1,Land_Cover_Elements_Water_lake1,Land_Cover_Elements_cultivated1,Land_Cover_Elements_Bare_Grou_1,Building 1,Land_Cover_Elements_Trees_Can_1,unknown 1,Land_Cover_Elements_bush_scrub_,shadow 1,shape 1.1,shape 1.2,shape 1.3,shape 1.4,shape 1.5,shape 1.6,shape 1.7,shape 1.8,shape_12_13_14_15_16_17_18_1_13,Land_Cover_Elements_Water_tre_1,shape_12_13_14_15_16_17_18_1_14,shape_12_13_14_15_16_17_18_1_15,shape_12_13_14_15_16_17_18_1_16,shape_12_13_14_15_16_17_18_1_17,shape_12_13_14_15_16_17_18_1_18,shape_12_13_14_15_16_17_18_1_19,shape_12_13_14_15_16_17_18_1_20,shape_12_13_14_15_16_17_18_1_21,shape_12_13_14_15_16_17_18_1_22,shape_12_13_14_15_16_17_18_1_23,x,y,Median Income,Min Distance,AOI,Average Income
0,1,1,1,600,-97.764672,30.498494,,100,100,0,,81,03-07-2024 19:41,274.6 secs,,0,0,58,0,24,0,0,0,0,3,12,0,0,3,,,,,,,,,,,,,,,,,,,,,600,-97.764672,30.498494,,100,100,0,,81,03-07-2024 19:41,274.6 secs,,0,0,58,0,24,0,0,0,0,3,12,0,0,3,,,,,,,,,,,,,,,,,,,,,-97.764672,30.498494,117987,1798.037859,6,90641.59459
1,2,1,2,601,-97.777717,30.487252,,100,100,0,,90,03-07-2024 19:53,719.8 secs,,0,0,24,0,0,0,0,0,0,0,76,0,0,0,,,,,,,,,,,,,,,,,,,,,601,-97.777717,30.487252,,100,100,0,,90,03-07-2024 19:53,719.8 secs,,0,0,24,0,0,0,0,0,0,0,76,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.777717,30.487252,61777,280.492325,6,90641.59459
2,3,1,3,602,-97.777717,30.491749,,100,100,0,,80,03-07-2024 19:57,261.7 secs,,0,0,10,0,0,0,0,0,0,0,90,0,0,0,,,,,,,,,,,,,,,,,,,,,602,-97.777717,30.491749,,100,100,0,,80,03-07-2024 19:57,261.7 secs,,0,0,10,0,0,0,0,0,0,0,90,0,0,0,,,,,,,,,,,,,,,,,,,,,-97.777717,30.491749,61777,386.245386,6,90641.59459
3,4,1,4,603,-97.777717,30.496245,,100,100,0,,86,03-07-2024 20:00,163.5 secs,,0,0,16,0,19,0,0,0,0,30,30,0,0,5,,,,,,,,,,,,,,,,,,,,,603,-97.777717,30.496245,,100,100,0,,86,03-07-2024 20:00,163.5 secs,,0,0,16,0,19,0,0,0,0,30,30,0,0,5,,,,,,,,,,,,,,,,,,,,,-97.777717,30.496245,61777,846.522199,6,90641.59459
4,5,1,5,604,-97.777717,30.500742,,100,100,0,,78,03-07-2024 20:06,396.7 secs,,0,0,14,0,7,0,14,0,0,32,16,0,11,6,,,,,,,,,,,,,,,,,,,,,604,-97.777717,30.500742,,100,100,0,,78,03-07-2024 20:06,396.7 secs,,0,0,14,0,7,0,14,0,0,32,16,0,11,6,,,,,,,,,,,,,,,,,,,,,-97.777717,30.500742,61777,1334.605705,6,90641.59459
5,6,1,6,605,-97.777717,30.505239,,100,100,0,,93,03-07-2024 20:09,165.3 secs,,0,0,54,0,42,0,0,0,0,1,2,0,0,1,,,,,,,,,,,,,,,,,,,,,605,-97.777717,30.505239,,100,100,0,,93,03-07-2024 20:09,165.3 secs,,0,0,54,0,42,0,0,0,0,1,2,0,0,1,,,,,,,,,,,,,,,,,,,,,-97.777717,30.505239,61777,1828.341668,6,90641.59459
6,7,1,7,606,-97.777717,30.509735,,100,100,0,,83,03-07-2024 20:16,412.4 secs,,0,0,31,0,15,0,0,0,0,9,42,0,0,3,,,,,,,,,,,,,,,,,,,,,606,-97.777717,30.509735,,100,100,0,,83,03-07-2024 20:16,412.4 secs,,0,0,31,0,15,0,0,0,0,9,42,0,0,3,,,,,,,,,,,,,,,,,,,,,-97.777717,30.509735,61777,2324.020311,6,90641.59459
7,8,1,8,607,-97.772499,30.487252,,100,100,0,,80,03-07-2024 20:23,394.3 secs,,0,0,18,0,23,0,0,0,0,22,22,0,0,15,,,,,,,,,,,,,,,,,,,,,607,-97.772499,30.487252,,100,100,0,,80,03-07-2024 20:23,394.3 secs,,0,0,18,0,23,0,0,0,0,22,22,0,0,15,,,,,,,,,,,,,,,,,,,,,-97.772499,30.487252,61777,739.1939168,6,90641.59459
8,9,1,9,608,-97.772499,30.491749,,100,100,0,,83,05-07-2024 20:44,230.8 secs,,0,0,14,0,40,0,0,0,0,13,30,0,0,3,,,,,,,,,,,,,,,,,,,,,608,-97.772499,30.491749,,100,100,0,,83,05-07-2024 20:44,230.8 secs,,0,0,14,0,40,0,0,0,0,13,30,0,0,3,,,,,,,,,,,,,,,,,,,,,-97.772499,30.491749,61777,785.427077,6,90641.59459
9,10,1,10,609,-97.772499,30.496245,,100,100,0,,75,05-07-2024 21:35,3059.0 secs,,0,0,12,0,7,0,0,0,0,28,39,0,0,14,,,,,,,,,,,,,,,,,,,,,609,-97.772499,30.496245,,100,100,0,,75,05-07-2024 21:35,3059.0 secs,,0,0,12,0,7,0,0,0,0,28,39,0,0,14,,,,,,,,,,,,,,,,,,,,,-97.772499,30.496245,61777,1088.250212,6,90641.59459
